,Year,Posession,GoalsAgainstPer90,GoalieSave%,TotalWins,GoalieLaunchedComp%,GoaliePassesLaunch%,StandardSh/90,StandardSoT/90,TotalPassCmp%,ChallengesTkl%,Take-OnsSucc%,TeamSuccess(xG)xG+/-90
Year,2.9242819843342036,0.0013054830287204597,0.006488250652741502,0.5334203655352477,0.02088772845953003,-0.9953002610966056,-3.125326370757179,-0.2015796344647522,0.04738903394255867,0.5933420365535249,3.2009138381201048,-5.885900783289813,-1.3044395850687218e-18
Posession,0.0013054830287204597,62.55104846605745,-2.977817028394256,11.5082865535248,8.390992167101828,12.175647030026115,-59.13645479765014,17.705074779699743,7.080727969973889,22.496549037206258,12.179262810052219,11.728896866840728,5.159373368146212
GoalsAgainstPer90,0.006488250652741502,-2.977817028394256,0.4701335828709749,-4.1376183093994765,-0.8467080069625762,-0.02161930211053104,2.623912247062662,-0.8922421487434727,-0.4162073786988686,-1.12765318347476,-0.827772499184073,-0.7008192993907747,-0.4483960835509137
GoalieSave%,0.5334203655352477,11.5082865535248,-4.1376183093994765,84.44789817232378,5.671018276762402,-1.2528231070496083,-3.137261749347256,1.674636912532638,1.8413570496083556,4.330109334203655,1.6099330939947798,8.608120104438637,1.9940809399477808
TotalWins,0.02088772845953003,8.390992167101828,-0.8467080069625762,5.671018276762402,4.12358572671889,0.5251087902523934,-9.464099216710183,2.9989751958224558,1.5589120974760673,3.7147302001740647,2.004373368146214,2.4387293298520456,1.1648302872062666
GoalieLaunchedComp%,-0.9953002610966056,12.175647030026115,-0.02161930211053104,-1.2528231070496083,0.5251087902523934,73.31381826588337,-24.150851011749335,6.493694394582245,1.8246755330722366,5.564209502828548,-4.049749918407312,10.758026544821583,0.7183133159268924
GoaliePassesLaunch%,-3.125326370757179,-59.13645479765014,2.623912247062662,-3.137261749347256,-9.464099216710183,-24.150851011749335,138.44206021540467,-18.16301513544386,-7.942190437336815,-35.29822087140991,-12.128359578981723,-7.63261749347258,-5.471198433420362
StandardSh/90,-0.2015796344647522,17.705074779699743,-0.8922421487434727,1.674636912532638,2.9989751958224558,6.493694394582245,-18.16301513544386,10.089299341139037,3.8501643684725857,6.471884974706268,3.0478989270561367,3.3211158616187966,2.199875718015666
StandardSoT/90,0.04738903394255867,7.080727969973889,-0.4162073786988686,1.8413570496083556,1.5589120974760673,1.8246755330722366,-7.942190437336815,3.8501643684725857,2.0170814512619666,2.707434916231506,1.3221769745430811,1.2994852045256744,0.9671911227154046
TotalPassCmp%,0.5933420365535249,22.496549037206258,-1.12765318347476,4.330109334203655,3.7147302001740647,5.564209502828548,-35.29822087140991,6.471884974706268,2.707434916231506,15.697685963337689,2.2509009872715438,5.186176022628371,1.919587467362924
ChallengesTkl%,3.2009138381201048,12.179262810052219,-0.827772499184073,1.6099330939947798,2.004373368146214,-4.049749918407312,-12.128359578981723,3.0478989270561367,1.3221769745430811,2.2509009872715438,47.55761361781984,-17.771295691906005,1.1162950391644908
Take-OnsSucc%,-5.885900783289813,11.728896866840728,-0.7008192993907747,8.608120104438637,2.4387293298520456,10.758026544821583,-7.63261749347258,3.3211158616187966,1.2994852045256744,5.186176022628371,-17.771295691906005,67.0937684943429,1.0757859007832895
TeamSuccess(xG)xG+/-90,-1.3044395850687218e-18,5.159373368146212,-0.4483960835509137,1.9940809399477808,1.1648302872062666,0.7183133159268924,-5.471198433420362,2.199875718015666,0.9671911227154046,1.919587467362924,1.1162950391644908,1.0757859007832895,0.8099154046997391
