Year,Squad,Poss,SweeperAvgDist,Per90npxG,SoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TacklesAtt3rd,TouchesMid3rd,TouchesAtt3rd
2018,de Schalke 04,42.3,11.7,1.02,3.25,84,83.5,51.1,8,25,15.5,278,11,1921,830
2018,ua Shakhtar,49.2,13.7,1.15,4.17,89.5,88.3,62.2,10,22,21.5,159,5,1773,817
2018,eng Tottenham,52.5,13.3,1.58,5.69,89.2,86,61.5,35,53,27.69,339,23,4165,1983
2018,es Valencia,50.3,10.9,1.02,2.83,89,85.2,60.3,4,21,20.17,179,9,1840,866
2018,cz Viktoria Plzeň,38.8,12,1.15,3.17,85.3,80.8,55,2,14,17.67,145,6,1263,673
2018,ch Young Boys,41.3,13.7,0.83,2.5,86.8,84.3,50.1,3,12,20.33,206,18,1561,720
2018,gr vs AEK Athens,59.2,16.6,1.72,6.33,89.9,88.5,64.9,9,39,30.17,189,16,2226,1086
2018,nl vs Ajax,47.1,14.4,1.42,4.33,84.2,83.8,58.1,10,65,21.92,424,16,3352,1531
2018,es vs Atlético Madrid,51.3,10.7,0.94,2.25,87.1,86.4,65.1,4,48,17.25,205,16,2543,1204
2018,es vs Barcelona,38.7,15.2,1.2,3.5,89.4,85.4,59.5,18,49,20.42,334,12,3188,1444
2018,de vs Bayern Munich,43.1,12.2,1.07,3.62,86.7,84.1,53.1,3,37,18.37,278,23,2285,954
2018,pt vs Benfica,55.7,18.2,1.78,5.83,89.8,88.6,61.5,4,24,22.17,192,9,2197,800
2018,be vs Club Brugge,59.8,15.5,1.06,3.67,90.3,89.9,65.8,12,39,22.17,155,5,2630,1346
2018,ru vs CSKA Moscow,55.3,17.1,1.79,6.33,88.7,87,67.5,6,42,31.33,149,7,1998,1096
2018,de vs Dortmund,39.4,11.9,0.85,2.75,88.1,85.8,61.4,15,48,17.87,269,16,2380,987
2018,tr vs Galatasaray,46.5,10.2,1.47,3.83,88.5,82.7,53.6,10,15,21.33,145,8,1514,715
2018,de vs Hoffenheim,55,15.1,2.05,7.17,90.8,88.9,63.4,14,26,31,152,8,1928,1075
2018,it vs Inter,52.3,9.9,1.3,6.5,91,88.9,62.8,11,21,27.17,151,17,2012,994
2018,it vs Juventus,44.9,12.1,0.85,2.9,88.5,84.9,49,10,40,19.4,282,22,2579,1508
2018,eng vs Liverpool,48.4,13.9,1.07,4.31,88.3,84.1,51.3,23,63,17.92,389,12,3836,1368
2018,ru vs Loko Moscow,54.2,15.1,1.26,5.17,84.3,86.4,60.4,4,39,22.17,176,9,1945,904
2018,fr vs Lyon,56.5,16.6,2.06,6.37,91.2,89.1,64.6,19,36,32.63,234,18,2929,1570
2018,eng vs Manchester City,37,11.7,0.78,3,87,85.7,51.8,16,34,16.6,304,9,2233,871
2018,eng vs Manchester Utd,54.4,10.6,1.37,3.4,92.4,88.8,62.4,16,41,23.1,290,19,3698,1723
2018,fr vs Monaco,55,12.8,1.58,4.5,89.9,89.2,66.9,10,26,22,196,17,2343,959
2018,it vs Napoli,43.7,13.5,1.08,3.33,88.7,86.2,56.9,14,17,21,167,12,1770,781
2018,fr vs Paris S-G,41.5,16.2,0.92,3,88.8,86.4,54.6,9,27,18.75,226,19,2188,996
2018,pt vs Porto,47,13.4,1.49,3.19,83.2,80.5,50.4,13,51,21.77,330,24,2522,1320
2018,nl vs PSV Eindhoven,68.2,13.4,2.31,8.33,92,87.4,70.2,19,23,43.5,140,10,2438,1393
2018,es vs Real Madrid,37.9,10.1,1.35,4.62,89.1,83.7,53,10,27,22.5,212,12,1749,994
2018,rs vs Red Star,69.5,14.5,2.95,9,89.9,88.9,68.4,18,36,38.83,135,11,2923,1370
2018,it vs Roma,50.8,14.3,1.59,5.16,90.9,84.7,56.3,10,63,27.24,244,15,2195,1342
2018,de vs Schalke 04,57.8,14.4,1.19,3.62,88.3,86.5,65.6,16,20,21.5,278,20,2900,1169
2018,ua vs Shakhtar,50.8,18.9,1.93,5.67,90.8,89.8,66.6,20,43,31.67,150,11,2155,899
2018,eng vs Tottenham,47.5,13.6,1.12,4.08,89.5,86.8,53.7,34,59,22.69,403,23,3923,1732
2018,es vs Valencia,49.7,14.3,1.47,4.33,90.1,86.6,62.4,3,23,25,174,13,1890,893
2018,cz vs Viktoria Plzeň,61.2,17.3,1.78,6.83,92.4,88.6,65.1,23,35,29.5,150,10,2352,1121
2018,ch vs Young Boys,58.7,12.9,1.79,4.83,91,87.1,64.9,4,31,30,126,1,2296,900
2019,nl Ajax,54.5,13.9,1.24,4,88.5,84.6,52.8,13,23,24.17,231,30,1768,1078
2019,it Atalanta,48.3,14.1,1.52,4.44,87.4,82.4,56.1,11,34,24,267,8,2530,1405
2019,es Atlético Madrid,45.1,11.3,1.38,4.61,87.3,80.9,53.6,17,35,23.79,251,24,2615,1478
2019,es Barcelona,57,11,1.51,4.67,90.9,91.5,68.5,30,40,20.89,226,18,3497,1662
2019,de Bayern Munich,63.8,23.6,3.09,8.82,90.6,90.3,69.2,27,71,37.36,298,36,4182,2397
2019,pt Benfica,48.5,14.7,1.22,4.67,88.6,85.1,60.3,4,26,24.17,179,13,1678,991
2019,eng Chelsea,51.4,16.4,1.9,5.12,89.9,85.9,66.3,9,35,28.5,194,14,2403,1300
2019,be Club Brugge,41.5,15.2,1.09,2.5,85.7,82.3,57.1,9,25,18.5,180,20,1315,888
2019,hr Dinamo Zagreb,35.2,9.5,1.14,3,82.4,76,47.1,2,16,15,176,8,1330,624
2019,de Dortmund,51.8,16,1.71,4,90.5,89.8,62.6,17,37,21,233,16,2520,1576
2019,tr Galatasaray,46.7,15.1,0.7,1.5,86.5,85.5,49,4,15,14.67,160,4,1612,722
2019,be Genk,40.3,14.8,1.15,3.5,85.7,81.2,55.2,4,27,19.83,168,12,1335,765
