,Per90npxG,SoT/90,SCA90,Poss,LongCmp%,SweeperAvgDist,TacklesAtt3rd,PassTypesTB
108,10,22,12.1,49,44.9,19.4,2.9,0.85
109,23,12,13.9,51.3,48.4,17.92,4.31,1.07
110,4,9,15.1,60.4,54.2,22.17,5.17,1.26
111,19,18,16.6,64.6,56.5,32.63,6.37,2.06
112,16,9,11.7,51.8,37,16.6,3,0.78
113,16,19,10.6,62.4,54.4,23.1,3.4,1.37
114,10,17,12.8,66.9,55,22,4.5,1.58
115,14,12,13.5,56.9,43.7,21,3.33,1.08
116,9,19,16.2,54.6,41.5,18.75,3,0.92
117,13,24,13.4,50.4,47,21.77,3.19,1.49
118,19,10,13.4,70.2,68.2,43.5,8.33,2.31
119,10,12,10.1,53,37.9,22.5,4.62,1.35
120,18,11,14.5,68.4,69.5,38.83,9,2.95
121,10,15,14.3,56.3,50.8,27.24,5.16,1.59
122,16,20,14.4,65.6,57.8,21.5,3.62,1.19
123,20,11,18.9,66.6,50.8,31.67,5.67,1.93
124,34,23,13.6,53.7,47.5,22.69,4.08,1.12
125,3,13,14.3,62.4,49.7,25,4.33,1.47
126,23,10,17.3,65.1,61.2,29.5,6.83,1.78
127,4,1,12.9,64.9,58.7,30,4.83,1.79
128,13,30,13.9,52.8,54.5,24.17,4,1.24
129,11,8,14.1,56.1,48.3,24,4.44,1.52
130,17,24,11.3,53.6,45.1,23.79,4.61,1.38
131,30,18,11,68.5,57,20.89,4.67,1.51
132,27,36,23.6,69.2,63.8,37.36,8.82,3.09
133,4,13,14.7,60.3,48.5,24.17,4.67,1.22
134,9,14,16.4,66.3,51.4,28.5,5.12,1.9
135,9,20,15.2,57.1,41.5,18.5,2.5,1.09
136,2,8,9.5,47.1,35.2,15,3,1.14
137,17,16,16,62.6,51.8,21,4,1.71
138,4,4,15.1,49,46.7,14.67,1.5,0.7
139,4,12,14.8,55.2,40.3,19.83,3.5,1.15
140,13,8,11.2,58.5,41.5,21.83,4.67,1.54
141,14,16,13.6,66.5,59.4,24.62,4.5,1.41
142,5,6,17.9,59.9,58.8,23.83,2.67,1.12
143,9,13,15.9,45.9,42.7,22.83,4.17,1.46
144,18,20,19.3,66.9,66.6,30.6,5.52,1.94
145,7,12,12.9,51.2,32.3,14.83,3.5,1.01
146,10,18,12.1,55.9,44.9,20.7,3.9,1.11
147,32,25,20.5,67.9,62.4,29.78,6.44,2.53
148,6,18,11,62.5,47.5,24.62,3,1.47
149,4,7,9.8,55.2,45,23.17,3.33,1.05
150,47,22,11,55.5,53.2,21.73,5.36,2.31
151,13,18,21.3,57.6,57.1,28.2,4.6,1.48
152,12,14,14.1,46.7,44.8,27,5.83,2.02
153,11,18,14.6,69.2,54.8,31.75,6.62,1.98
154,6,10,10.8,44.1,36.5,15.33,2.83,0.54
155,11,7,12.5,59.8,49.8,18.67,3.67,1.25
156,8,18,21,59.8,48.7,24.5,5.5,1.44
157,27,14,10.9,51.2,50,21.38,5.63,1.62
158,16,7,13.6,54.3,48.5,22.62,4.37,1.54
159,10,9,12.2,54.4,39.5,17.67,3.33,1.02
160,10,8,14.1,52.4,45.5,25.5,4.67,1.91
161,13,12,17.4,60.1,51.7,23.22,5,1.93
162,1,18,13.6,59.6,54.9,20.46,3.21,0.98
163,18,21,18.8,63.1,43,25.11,5.11,1.81
164,24,9,9.1,48.7,36.2,14.18,3,0.86
165,10,7,13.6,62.2,51.5,24.67,4.5,1.44
166,19,16,14.6,56.7,48.6,20.62,3.87,1.39
167,9,10,15.1,56.9,58.5,23.5,4.33,1.73
168,13,10,17.3,59.7,64.8,30,5.5,2.45
169,26,22,14.6,67.3,48.3,19.25,4.5,1.54
170,26,16,13.4,58.2,53.3,29.67,7.5,2.47
171,16,11,12,64.2,59.7,33,6.5,2.77
172,4,11,18.7,67.4,58.5,26.33,4.83,1.59
173,4,12,11.8,53.9,40.6,21.38,2.75,1.26
174,14,17,14.7,59.8,41.2,14.83,4.67,1.13
175,12,18,17.8,64,57.3,24.5,5.17,1.55
176,8,10,12.9,46.5,33.4,13.56,3.84,0.97
177,17,16,20.8,60.9,67.7,37.33,6.67,1.92
178,17,18,14.8,58.1,55.1,24.9,3.5,1.61
179,12,11,11,55,37.6,14,2.89,0.79
180,6,24,13.9,60.3,52.5,22.12,2.75,1.08
181,8,20,18.4,57.8,55,27.17,5.67,1.76
182,6,36,15.7,60.4,46.8,21.55,2.55,1.05
183,21,17,14.3,54.4,42.9,19.2,4.5,1.22
184,11,13,18.6,61.8,55.2,29.5,4.83,1.98
185,18,15,13.3,58.2,45.3,20.12,4.12,1.62
186,16,15,21.6,65.2,63.5,39.5,8.5,3.04
187,15,10,19.4,66.2,50.2,25.5,5.17,1.93
188,26,9,12,55.3,51.3,24,5.83,2.03
189,10,16,18.4,59.9,50,25.25,5.63,1.2
190,10,22,15.6,51.6,51.5,29.25,4.62,1.68
191,6,13,18.2,61.3,60.5,31.17,6,1.31
192,3,20,15.9,52.2,56,20.5,4.67,1.21
193,10,19,15.8,56.3,46.5,18.87,5.12,1.46
194,7,19,14.3,55.8,49.1,20.87,3.87,1.14
195,12,25,17.4,69.8,62.1,33.25,6.87,1.92
196,2,7,15.5,52.1,42.8,17.67,3.67,0.87
197,8,25,20.9,69,59.6,29.3,5.7,1.94
198,12,25,12.9,54.4,51.8,20.23,4,1.64
199,1,10,23,60.2,50.2,15.5,2.67,1.15
200,12,21,9.2,65.1,49.5,21.3,4.9,1.28
201,3,8,8.1,61.1,42.5,11.17,3.5,0.94
202,5,12,15.1,63.3,44.2,15.83,2.33,0.8
203,5,15,20.5,65.8,50.3,23.5,3.33,1.39
204,6,16,17.2,66.2,55.1,25.68,5.76,1.71
205,4,12,8.4,45.7,37.5,19.67,2.83,0.93
206,12,10,10.8,64.1,44.8,20.87,4.37,1.34
207,8,13,19.1,54.7,52,18.2,4.3,1.4
208,5,9,12.6,55.3,38.8,12.33,2.5,0.55
209,10,14,12.6,56,42,16.88,3.87,1.25
210,10,49,19.3,69,60.2,22.46,5.46,1.61
211,6,13,14.5,58.6,51,25.33,5.33,1.38
212,0,9,16.2,49.4,50,14.17,1.83,0.59
213,5,11,15.3,51.7,42.3,17,3.5,0.91
214,1,6,9.4,56.2,49,12.17,1.67,0.69
215,17,18,12.5,54.5,48.3,20.58,3.92,1.52
216,3,14,13.8,47.8,39.8,12.97,3.39,0.91
217,3,16,18.6,55,52.4,23,3.75,1.22
218,9,12,13.4,48.5,48.8,27.83,6.5,1.87
219,9,31,18.2,68.7,57.6,23.5,5.08,1.47
220,0,11,20.3,58.5,49.5,22.17,4.17,1
221,3,21,17.7,64.3,60.3,28.13,6.12,1.42
222,4,7,10.6,57.1,45.3,12.33,2.83,0.78
223,2,11,10.6,59.6,46.2,17.33,2.33,0.93
224,7,8,13.5,57.5,43.7,19.67,4.5,1.21
225,6,17,16.9,54.5,53.8,19.75,4.5,1.11
226,4,13,13.3,58.4,51.4,19.5,2.75,1.09
227,12,12,10.5,61.1,37.3,15.87,3.12,1.22
228,7,11,14.6,64.5,57.2,29.33,5.67,1.77
229,11,16,13.4,53.5,40.2,19,4.8,1.4
230,2,29,15.9,58.6,48,16.92,2.77,0.69
231,9,12,8.9,59.7,49.8,21.83,4.5,1.42
232,5,25,17.3,64.2,50.6,20.4,3.7,1.13
233,4,10,13.6,65.7,58,25.83,6.33,1.99
234,7,20,13.7,66.9,56.2,24.33,5.5,1.74
235,3,10,16.1,58.1,49.8,16.17,3.5,0.83
236,2,12,13.4,58.3,44.9,17.64,3.96,0.98
237,0,17,15.8,63.5,62.8,32.67,6.67,1.46
238,4,14,19.5,69.1,55.4,19.37,4.12,1.25
239,11,16,15.1,54.4,47.8,18.2,3.7,1.31
240,10,12,18.8,58.9,61.2,30.83,5.83,1.84
241,5,20,20.1,71,58.5,24.12,4.37,1.73
242,10,9,11.4,51.5,39.6,10.69,1.85,0.55
243,3,13,16,55.4,49,19.67,4,1.4
244,4,11,12,60.6,49.3,15.17,3.83,1.43
245,4,17,15.8,53.7,58,20.5,5.83,1.75
246,3,12,13.6,52.6,51.5,22.83,5.17,1.2
247,9,36,18.6,60.3,51.6,27.17,5.42,1.3
248,6,17,17.1,58.6,60.4,21.19,3.68,1.31
249,5,13,17.3,49.1,47.5,17.87,4.12,1.21
250,6,11,16.6,57.3,50.8,20.83,5,1.28
251,12,21,17.5,58.2,42.1,16.08,3.25,1.3
252,5,9,10.6,52.6,50.3,21.33,4.5,1.8
253,9,21,10.6,50.3,39.4,18.12,3.75,0.99
254,10,29,18.1,66.7,53.8,27.67,6,1.7
255,2,16,11.3,67.1,54.3,22.17,4.17,1.49
256,18,27,18.4,65.8,61.4,29.62,6,2.27
257,6,25,17.9,62.1,52,25.33,5.17,1.7
258,15,16,13.2,47.3,40.6,15.4,2.5,1.14
259,4,18,14.8,65.2,57.8,19.33,1.83,1.08
260,18,32,22.1,69.7,62.9,34.2,6.6,2.33
261,10,6,13.6,55.5,38.9,15.9,3.4,1.1
262,13,8,22.8,55,44.2,14.33,1.83,0.9
263,11,38,20.5,60.5,61,28.84,5.23,1.68
264,9,14,16.5,54.8,38.8,17.67,4.33,1.02
265,7,12,15.8,60.8,51.8,25.67,4.5,1.65
266,6,8,7.7,56.2,41.2,14,2.83,0.71
267,12,26,12.2,66,49.1,28,4.75,1.59
268,18,25,13.1,66,51.5,23.25,4.25,1.46
269,5,18,9.4,56.4,46.8,18.62,2.5,1.11
270,25,46,18.2,63.7,61.8,30,6.08,1.98
271,6,4,12.7,53.3,38,10.33,1.17,0.27
272,28,29,18.6,68.9,60.1,28.22,5.27,2.03
273,12,19,20.5,63.9,53.9,18.75,5,1.18
274,13,7,12.8,54.9,46.8,13.33,2.67,0.96
275,21,13,13.9,67.3,54.9,20.62,4.37,1.5
276,8,16,19.6,53.7,47.8,17.33,2.83,1.21
277,11,20,17.3,50.9,49,26,5.17,1.85
278,9,25,17.3,49.5,44.4,17.12,4.25,1.05
279,26,34,16,63.9,51.1,23.93,4.83,1.41
280,6,11,13.4,64.3,60.5,20.17,3.33,0.94
281,18,12,13,68,58.8,24,3.33,1.14
282,3,9,7.5,51.3,29.8,14.67,3.5,0.73
283,14,13,10.7,54.5,41.4,17,3.75,1.22
284,22,23,15.4,52.4,43.2,16.33,3.67,1.5
285,3,12,15.6,56,43.2,11.5,1.83,0.81
286,6,10,10.9,58.7,50,21.5,4.17,1.23
287,8,8,10.4,62,45.7,23.83,4.17,1.38
288,14,8,13.5,53.2,38.3,17.25,2.5,1.06
289,10,16,14.1,53,48,20.17,5.67,1.52
290,13,22,19.3,62.9,59.9,19.7,3.4,1.17
291,8,7,10,62.5,41.8,17.17,4,1.46
292,10,16,11.8,51.8,36.7,13,2.5,0.77
293,15,33,19,64.5,61,27.4,5.1,2.07
294,11,22,14.9,60.2,55.7,36.17,6.67,2.9
295,13,15,9.9,54.3,38.7,14.03,2.13,0.99
296,22,15,15.3,61.6,61.5,31.33,7.33,2.85
297,10,14,17.2,61.6,48.2,18.17,3.67,1.13
298,5,10,18.4,70.8,59.2,24.5,4.5,1.41
299,10,14,13.4,64.6,51,19.13,2.37,0.97
300,8,18,14.1,58.7,48.5,20.25,2.75,1.15
301,8,18,14.8,57.8,53.6,15.62,2.75,0.76
302,32,17,16.3,48.4,37.5,10.85,2.15,1.01
303,18,29,12.5,69.4,62.5,32,6.5,1.87
304,16,15,14.3,49.8,39.3,13.38,2.59,0.8
305,6,16,15.2,57.4,46,21.75,4.12,1.33
306,12,22,15.8,58.6,53,29,4.5,1.45
307,15,35,17.3,64.6,45,27.25,4.87,1.55
308,12,9,14.3,57.2,52,17.5,4.67,1.47
309,10,9,14.4,63,50.8,18.67,4.17,1.45
310,6,15,15.2,63.9,55.9,20.25,3.38,1.3
311,28,29,17.5,61.7,48.7,27.15,5.2,1.47
312,3,18,14.3,48.6,39,15.5,2.83,0.77
313,11,16,9.4,60.8,40.7,24.83,5.83,1.69
314,9,24,19.3,77,70.8,41.33,7,1.91
315,12,17,22.2,66.4,58.9,20.75,4.37,1.49
316,25,44,21.5,61.6,56.9,27.42,4.58,1.55
317,6,17,13.9,59.6,56.7,22,5.33,1.72
318,5,15,19.6,62,50.2,18.67,5.33,1.72
319,8,9,11.6,63.9,54.3,23.33,4.17,1.2
320,7,16,12.4,51.8,53.2,18.33,3.67,1.26
321,6,17,13.3,59.4,56.5,28,5.67,1.31
322,15,19,18.2,72.7,64.8,27.67,5.5,1.65
323,26,26,13.4,68.7,56.1,30.2,7.2,1.86
324,10,31,14.8,68.3,52.9,25.4,4.8,1.53
325,8,18,19.3,62.3,44.2,23.5,4.83,1.4
326,15,26,17.8,61.5,57.3,28.3,5.1,1.46
327,5,15,9.6,58.5,45.6,14.63,2.5,0.8
328,4,9,10.8,57.5,46.8,16.67,3.33,0.7
329,8,16,17.1,59.6,47.9,21.12,3.38,1.31
330,6,13,13,43.9,43.3,16.12,3.25,0.91
331,5,14,13.1,50.4,37.7,15,2.67,0.8
332,10,27,10.1,59.8,45.6,21.62,4.77,1.34
333,7,14,14.8,66.4,48.3,23.33,4.17,1.43
334,11,17,10,55.8,51.3,23.83,4.5,1.24
335,19,19,17.4,59.8,54.9,27.75,6.87,1.74
336,8,16,17.2,60.1,43.3,23.33,3.5,0.94
337,22,37,17.4,71.1,59.8,28.08,6.54,1.74
338,5,16,17,68.1,59.2,23.17,3.83,1.31
339,14,23,16.9,62.9,48,20.17,3.5,1.18
340,33,30,13.6,60.4,56.4,31.5,6.3,1.91
341,21,14,13.3,69.4,56.8,22.37,5.12,1.25
342,11,15,13.6,53.1,47.5,24.12,4.75,1.61
343,3,9,18.9,45.8,38.5,11.67,1.67,0.68
344,21,17,15.2,62.4,50,19.5,4.25,1.46
345,4,23,16.2,44.8,40,22.33,4.5,1.25
346,22,20,13,64.5,53.7,27.92,6.17,1.71
347,7,14,10.6,60.1,50.7,19.83,4,0.9
348,16,8,8.7,55.9,42.3,13.33,2.5,0.62
349,4,8,8.8,51.5,45.3,12.5,3.5,0.63
350,13,24,17.9,59.7,50.6,22.12,3.62,1.05
351,0,15,15.8,53,29.5,18.67,3.17,0.79
352,13,15,13.1,61,46.8,26,5.83,1.78
353,4,8,7.3,55.8,43.5,21.5,4.33,1.51
354,5,15,11.7,59.3,35.2,20,4.83,1.42
355,13,35,13.7,63.1,43.9,17.9,3.6,1.02
356,7,19,13.9,61.2,47.1,17.4,2.8,0.89
357,21,12,13.4,68.7,55.8,23.5,4.83,1.65
358,7,14,19.2,54.7,42.7,17,3.7,1.07
359,15,28,13.9,60.2,54.4,29,5.37,1.82
360,17,21,24.8,55.1,53.2,32.67,5.33,1.69
361,9,20,15.7,62.3,52.1,25.12,4.25,1.23
362,16,20,19.8,63.6,56.8,19,4.75,1.24
363,6,19,15.7,67.3,62.3,28.67,6,1.61
364,16,32,16.8,64.6,54.4,24.46,4.38,1.16
365,10,18,13.4,58.7,51.7,28,5,1.51
366,6,10,9.2,54.3,48.7,18.83,3.5,0.83
367,8,11,13,50.2,45.1,16.62,3.25,1.14
368,11,18,15.1,69.6,56.7,29.83,7,1.64
369,15,18,11.4,57.1,40.2,15.38,2.77,0.75
370,5,8,6.5,47.6,40.8,17.5,3.33,0.85
371,5,36,14.1,56,52,23.42,4.17,1.08
372,11,18,13.8,50.2,43.6,17.3,2.8,1.14
373,12,22,11.9,68.1,43.3,21.87,4.25,1.16
374,12,22,13.6,58.7,52.5,21.62,4.25,1.03
375,20,17,15.7,62,61.5,33.5,8,2
376,7,13,17,66.4,50,21.12,4.62,1.37
377,6,13,13.9,66.2,60,25.33,5,1.15
378,29,31,12.3,60.4,46.3,20.42,4.75,1.26
379,11,14,16.8,56.8,49.3,25.83,5,1.7
380,13,20,20.6,69.5,57.7,31.67,6.33,1.81
381,12,17,16.8,63.6,54.7,24,4.5,1.37
382,6,9,11.4,53.9,49.4,18.87,3.75,1.09
383,18,13,16.2,71.7,70.5,33.17,9.17,2.51
