,Poss,SweeperAvgDist,Per90npxG,SoT/90,LongCmp%,PassTypesTB,SCA90,TacklesAtt3rd
Poss,1.0,0.46696320286918824,0.6459828329380968,0.6303748751507029,0.7172865451404405,0.24973279780708196,0.7340092453601925,0.34063642592226184
SweeperAvgDist,0.46696320286918824,1.0,0.3599588247549979,0.3198200824522837,0.3188157167914702,0.12462464747428494,0.3798318013095402,0.3836035479505116
Per90npxG,0.6459828329380968,0.3599588247549979,1.0,0.8456377048605869,0.487692170558064,0.44916098497937956,0.8249166197658278,0.31774342386775156
SoT/90,0.6303748751507029,0.3198200824522837,0.8456377048605869,1.0,0.49261498535423254,0.3809425403407477,0.8450102038708287,0.3044866057793509
LongCmp%,0.7172865451404405,0.3188157167914702,0.487692170558064,0.49261498535423254,1.0,0.23144613149820034,0.5787722746795637,0.27726525550581077
PassTypesTB,0.24973279780708196,0.12462464747428494,0.44916098497937956,0.3809425403407477,0.23144613149820034,1.0,0.32911684828277377,0.4045391287892574
SCA90,0.7340092453601925,0.3798318013095402,0.8249166197658278,0.8450102038708287,0.5787722746795637,0.32911684828277377,1.0,0.3802964238124741
TacklesAtt3rd,0.34063642592226184,0.3836035479505116,0.31774342386775156,0.3044866057793509,0.27726525550581077,0.4045391287892574,0.3802964238124741,1.0
