,Poss,SweeperAvgDist,Per90npxG,SoT/90,LongCmp%,PassTypesTB,SCA90,TacklesAtt3rd
Poss,62.55104846605745,12.321636749347261,2.3579154291775457,7.080727969973889,36.436774640992176,14.632424934725849,34.6151398906658,21.64143276762403
SweeperAvgDist,12.321636749347261,11.131069408181027,0.5542570441688427,1.5154300478677116,6.83184671453438,3.0803198433420373,7.5562624292863365,10.280842036553521
Per90npxG,2.3579154291775457,0.5542570441688427,0.21300014618690172,0.5542886776544821,1.4456583850087028,1.5357318864229763,2.2701119159323326,1.177996899477807
SoT/90,7.080727969973889,1.5154300478677116,0.5542886776544821,2.0170814512619666,4.493650402523935,4.008156005221933,7.156009940709313,3.4738218015665794
LongCmp%,36.436774640992176,6.83184671453438,1.4456583850087028,4.493650402523935,41.25341356614447,11.012940600522196,22.16587746137946,14.305499347258491
PassTypesTB,14.632424934725849,3.0803198433420373,1.5357318864229763,4.008156005221933,11.012940600522196,54.88413838120105,14.538540306788525,24.074738903394255
SCA90,34.6151398906658,7.5562624292863365,2.2701119159323326,7.156009940709313,22.16587746137946,14.538540306788525,35.55449611550804,18.21575310052218
TacklesAtt3rd,21.64143276762403,10.280842036553521,1.177996899477807,3.4738218015665794,14.305499347258491,24.074738903394255,18.21575310052218,64.52904699738903
