,ChallengesTkl%,Year,Take-OnsSucc%,GoalieLaunchedComp%,GoaliePassesLaunch%,TotalPassCmp%,Posession,TotalWins,GoalieSave%,GoalsAgainstPer90,TeamSuccess(xG)xG+/-90,StandardSoT/90,StandardSh/90
63,38,2017,60.2,36.5,33,85.3,54.3,3,66.7,1.67,-0.31,4.17,12.5
64,37.2,2018,55.2,45.5,69,76.5,40.8,0,72.5,2.17,-1.2,1.5,6.5
65,44.1,2018,55.9,22.6,41.9,79.5,52.9,6,77.4,1.08,0.38,5.67,15.25
66,43.3,2018,60.6,34.6,50,79.5,48.9,5,57.9,1.13,-0.12,3.75,11.12
67,45.8,2018,60.8,52.3,21.7,87.3,61.4,8,76.2,0.83,0.72,6.42,16.58
68,35.8,2018,55.2,42.2,28.3,82.9,56.9,4,76.7,1,0.68,5.5,13.62
69,50.8,2018,61.5,43.6,50.3,77.9,44.3,2,68.6,1.83,-0.75,5,13.17
70,46.9,2018,68.6,34.3,52.5,77.9,40.2,1,77.3,0.83,-0.15,2.5,8
71,34.2,2018,57.4,29.2,67.5,77.3,44.7,2,76.9,1.5,-0.79,4.83,12.5
72,45.3,2018,57.1,34.6,26.5,87.2,60.6,4,72.7,0.75,0.68,3.87,11.62
73,53.7,2018,61.7,39.3,44.8,79.7,53.5,1,70.8,1.33,0.04,3,11
74,41.5,2018,72.1,43.5,31.5,79.3,45,0,67.4,2.33,-0.21,5.17,15.33
75,36.5,2018,50.7,46.3,20.1,80.9,47.7,2,82.1,1.17,0.13,4.33,15.17
76,39.8,2018,60,55.2,41.3,83.3,55.2,5,74.2,0.9,0.88,4,15.6
77,48.8,2018,64.8,38.4,23.3,78.1,51.6,8,78.6,0.92,1.11,4,14.31
78,40.6,2018,56.2,38.7,55,73.3,45.8,1,69.7,2,-0.42,2.17,12.5
79,44.6,2018,64.3,33.6,40.7,82.1,43.6,1,71.2,2,-0.62,5.25,14.75
80,31.9,2018,61.3,50,14.3,88,63,7,72.7,1.2,1.28,6.4,17.3
81,41.7,2018,57.9,45.5,46.3,82.1,45.6,4,67.6,1.1,-0.32,2.9,11.4
82,38.5,2018,47.4,48.3,34.8,80.6,45,0,53.6,2.33,-0.99,3.17,10
83,35.8,2018,60.5,40,30.1,83.7,56.3,2,75,0.83,0.73,5.17,15.17
84,33.3,2018,61.3,36.7,20.8,86.9,58.5,4,71.4,1.5,0.8,7.12,14.87
85,44.1,2018,53.7,40,38.3,76.4,53,6,67.6,1.45,-0.24,4.65,12.58
86,31.4,2018,53.5,47,61.1,72.9,31.8,0,74,2.17,-1.13,4.33,12.5
87,46.3,2018,61.5,46.1,36.4,86,62.1,5,73,1.25,0.76,7.25,19.13
88,33.3,2018,58.6,34.6,57.4,69.5,30.5,1,71.4,2.83,-2.76,2.67,7
89,35.7,2018,54.8,35.1,31.3,79.6,49.3,4,75,1.44,0.11,6.36,15.48
90,40.7,2018,54.9,33.7,42.3,74.5,42.3,3,62.5,1.75,-0.17,3.25,10
91,31.1,2018,50,40.2,34.9,83,49.2,1,61.1,2.67,-1.04,4.17,11.5
92,42.5,2018,58.7,43.5,29.6,81,52.5,6,67.3,1.47,0.34,5.69,15.46
93,51.1,2018,60.2,43.2,48.9,81.3,50.3,2,89.7,1,-0.7,2.83,11.33
94,44.2,2018,49.2,42.8,55,74.7,38.8,2,67.4,2.67,-0.75,3.17,10.67
95,42.6,2018,53,42.3,57.3,76.4,41.3,1,63.3,2,-0.83,2.5,11.83
96,44.8,2018,62.8,43.6,24.6,84,59.2,6,77.8,0.33,1.2,6.33,17
