,ChallengesTkl%,Year,Take-OnsSucc%,GoalieLaunchedComp%,GoaliePassesLaunch%,TotalPassCmp%,Posession,TotalWins,GoalieSave%,GoalsAgainstPer90,TeamSuccess(xG)xG+/-90,StandardSoT/90,StandardSh/90
272,49.7,2021,59.7,43.4,19.8,87.2,60.1,7,58.8,1.3,1.23,5.27,15.41
273,52.5,2021,51.9,34.2,36.5,82.5,53.9,3,69.7,1.25,-0.15,5,10.87
274,47.5,2021,57.4,34.8,28.1,77.6,46.8,1,72.4,1.5,-0.74,2.67,8
275,41.6,2021,60.1,30.6,16.7,87.6,54.9,4,75.6,1.37,0.16,4.37,10.62
276,37.9,2021,50,37.6,52.8,75.5,47.8,1,60.7,1.83,-0.13,2.83,10.67
277,34.9,2021,57,36.6,33.7,78.3,49,2,55.6,2.33,0.4,5.17,14.5
278,43.6,2021,49.3,33,36.7,73,44.4,3,63.3,1.75,-0.06,4.25,10.5
279,42.1,2021,56.9,26.9,28,85.7,51.1,9,80.6,1.02,0.06,4.83,13.1
280,40.6,2021,48.5,43.9,30.1,80.4,60.5,1,84.2,0.83,-0.09,3.33,11.5
281,39.7,2021,57.7,46.7,16.6,88.6,58.8,0,65.7,2,-0.55,3.33,13.17
282,42,2021,60,42.7,42.6,74.6,29.8,2,76.7,1.83,-1.32,3.5,9
283,37,2021,55.1,28,35,78.7,41.4,3,55.6,2.12,-0.07,3.75,9.37
284,41.6,2021,44.5,25.7,38.3,78.3,43.2,5,70.9,1.33,0.07,3.67,9.58
285,48.8,2021,51.6,40.2,37.1,74.4,43.2,1,72.7,1.67,-1.04,1.83,7
286,52,2021,45.8,39.7,38.7,79.9,50,1,62.5,2,-0.5,4.17,13.67
287,39.8,2021,62,48,36.5,82.3,45.7,1,65.4,1.67,0.31,4.17,13.17
288,47.4,2021,58.6,44,41.7,76.1,38.3,1,57.1,2.75,-1.12,2.5,9.62
289,53.7,2021,41.2,29.7,57.1,76.9,48,2,61.3,2,-0.18,5.67,12.67
290,41.8,2021,57.8,35.7,25.1,84.1,59.9,4,69.2,0.9,0.11,3.4,11.1
291,31.9,2021,55.2,38,35.8,81.6,41.8,3,81.8,0.33,0.51,4,9.83
292,31.4,2021,57.1,39.4,39.4,76.8,36.7,1,60,3.1,-1.86,2.5,7.6
293,46.3,2021,55.6,35.8,19.1,84.1,61,3,62.9,1.4,0.97,5.1,14.6
294,38.4,2021,60.7,21.6,21,82.8,55.7,6,83.3,0.5,2.26,6.67,19
295,44.6,2021,51.1,22.4,33,78.3,38.7,2,66.1,2.03,-0.77,2.13,8.13
296,36.2,2021,55.2,29.6,26.5,84.2,61.5,4,76.9,1,2.23,7.33,17.17
297,34.8,2021,55,34.4,29,82.5,48.2,3,72.4,1.67,-0.64,3.67,10.17
298,51.9,2021,66.2,57.9,19.3,86.5,59.2,5,94.1,0.17,0.82,4.5,13.5
299,52.7,2021,55.2,40,24,85.3,51,3,76.3,1.13,-0.62,2.37,10.75
300,36.8,2021,56.4,32.1,30.5,83.3,48.5,2,75,1.37,-0.34,2.75,11.37
301,42.4,2021,44.2,36.3,28.7,79.7,53.6,3,72.7,1,-0.37,2.75,9.12
302,45.9,2021,51.6,29.2,41.1,74.1,37.5,2,64.2,2.31,-1.09,2.15,6.46
303,43.7,2021,65.6,45.5,19.8,85.6,62.5,5,85.7,0.17,2.25,6.5,17
304,40.3,2021,50.3,32.7,42.8,80.1,39.3,3,59.7,2.35,-1.23,2.59,7.3
305,48.1,2021,47.5,29.1,28.8,79.7,46,2,70,1.5,0.15,4.12,13.5
306,42.6,2021,52.5,39.4,40.9,79.6,53,4,62.5,1,0.74,4.5,17
307,39.9,2021,58.4,56.4,21.5,83.1,45,2,65.8,1.87,-0.16,4.87,15.25
308,50,2021,62.1,42.4,30.2,77.8,52,3,83.3,0.67,0.13,4.67,10.67
309,43,2021,65.1,50.8,27.4,79.6,50.8,3,61.8,2.5,-0.4,4.17,10.5
310,50.7,2021,56.4,43.8,36.5,79,55.9,3,81.1,1.25,0.06,3.38,11.37
311,43.1,2021,57.9,38.1,24.1,85.8,48.7,4,62.3,2.12,-0.06,5.2,14.93
312,51.5,2021,59.4,25,42.2,73.5,39,2,86.4,0.83,0.09,2.83,9
313,42.3,2021,60.3,40.6,25.7,83.9,40.7,4,90,0.33,0.55,5.83,15.17
314,40,2021,58,60,7.6,87.8,70.8,3,66.7,1.17,1.32,7,23
315,44.9,2021,63,54.7,20,84.4,58.9,4,63.6,1.75,0.07,4.37,12
316,55.5,2021,58.4,40.8,21,82.9,56.9,4,60.9,1.67,-0.07,4.58,15.42
317,48.4,2021,51.2,36.4,25.5,78.6,56.7,3,54.5,0.83,1.04,5.33,13.33
318,54.2,2021,48,31.8,32.5,81.5,50.2,3,72,1.17,0.5,5.33,10.33
319,38,2021,60.2,36.5,33,85.3,54.3,3,66.7,1.67,-0.31,4.17,12.5
320,60.6,2022,43.8,19.8,35.9,83.7,53.2,2,62.2,2.67,-0.65,3.67,10.67
321,60.8,2022,44.9,30.4,30.3,82.9,56.5,1,70.4,1.5,-0.05,5.67,15.83
322,55.1,2022,39.8,65.8,17.6,86.2,64.8,2,63.3,2,0.1,5.5,15
323,45.7,2022,52.2,38.7,16.8,86.6,56.1,8,83.3,0.6,0.84,7.2,16.7
324,43.4,2022,49.7,30.1,33.7,84.2,52.9,6,67.7,1.3,0.82,4.8,13.3
325,50.6,2022,44.7,41.2,9.2,84.4,44.2,0,58.1,2.5,-0.29,4.83,13.67
326,50,2022,42.8,31,24.6,83.9,57.3,5,75.7,0.9,0.55,5.1,15.2
327,48,2022,43.8,51.6,44.9,78.8,45.6,3,80,1.37,-1.12,2.5,8.37
328,50.5,2022,40.4,30.9,42.4,79.1,46.8,1,77.1,1.83,-1.39,3.33,9.17
329,43.1,2022,43.1,38.5,27.4,82.2,47.9,3,83.3,0.87,-0.12,3.38,12.12
330,42.9,2022,33.8,25.3,47.8,76.6,43.3,3,73.2,1.62,-0.61,3.25,9.37
331,48.8,2022,43.2,31.7,45.5,78.7,37.7,0,71.1,2,-1.06,2.67,9
332,45.4,2022,47.9,44,34.6,79.6,45.6,7,80.7,0.85,0.22,4.77,12.77
333,52.1,2022,42,43.2,23.8,82.4,48.3,1,65.6,2.17,-0.33,4.17,13
334,61.6,2022,42.3,37.9,27.5,82.2,51.3,1,75,1.33,0.26,4.5,13.5
335,53.6,2022,41.9,54.9,17.9,81.8,54.9,5,60.7,1.5,0.51,6.87,15.75
336,47.3,2022,43.9,38.8,30.8,80.5,43.3,1,50,3.5,-0.57,3.5,12.67
337,49.7,2022,59,47.5,22.5,88.1,59.8,8,89.2,0.38,1.23,6.54,15.08
338,58,2022,38.7,32.1,30.5,84.2,59.2,2,60,1.33,0.59,3.83,13.17
339,48.6,2022,43.2,52.1,29.6,79.9,48,5,80.8,0.92,0.16,3.5,11.25
340,55.3,2022,46,44.7,15.5,84.4,56.4,7,76.7,0.8,1.22,6.3,16.7
341,42.4,2022,49,31,17.2,88.1,56.8,4,74.3,1.25,0.1,5.12,12.38
342,44.9,2022,42.8,38.1,36.1,77.2,47.5,4,81.6,1,0.48,4.75,13.87
343,42.9,2022,33.7,29.5,42.6,75.4,38.5,0,60.8,3.67,-1.57,1.67,7.17
344,45.4,2022,51.8,26.9,16.5,84.9,50,4,61.5,2.12,-0.1,4.25,11
345,58.3,2022,33,39.7,54.1,68.7,40,1,70,1.5,0.23,4.5,14
346,47.8,2022,44.4,27.4,20.3,87.6,53.7,8,77.6,1.08,0.53,6.17,15.33
347,46.2,2022,43,33.7,24.9,82.6,50.7,1,60,2,-0.8,4,11.33
348,45.5,2022,31.1,31,20.5,84.1,42.3,1,73.7,1.67,-1.19,2.5,7.5
349,62.9,2022,45.4,24.3,30.6,80,45.3,2,75.9,1.51,-1.01,3.5,7.5
350,49.7,2022,38.5,48.9,20.7,81,50.6,3,76.7,0.87,0.15,3.62,11.87
351,41.8,2022,34.8,45.8,54.3,73.5,29.5,0,56.4,4,-1.59,3.17,11.17
352,47.3,2022,34.2,64.1,20.1,81.6,46.8,4,56.5,1.83,0.65,5.83,14.33
353,51.2,2022,36,40,36.4,79.7,43.5,3,85.7,0.83,0.05,4.33,12.5
354,56,2022,41.3,46.7,42.8,77,35.2,3,63.6,2,-0.1,4.83,12
355,42.1,2022,46.8,40,32.4,81.6,43.9,1,71.2,2.2,-0.84,3.6,11
356,46.2,2022,49.5,53.3,27.6,80.7,47.1,1,60.4,2.6,-0.82,2.8,9.7
357,46.9,2022,42.1,37.3,16.5,87.6,55.8,4,86.7,0.67,0.29,4.83,12.83
358,50.3,2022,43.5,38.5,37.6,77.7,42.7,4,81.1,1.2,-0.55,3.7,9.8
359,50.4,2022,45.5,43.1,29.2,82.2,54.4,3,68.2,1,1.12,5.37,16.5
360,54.4,2022,43.4,32.4,28.9,81.2,53.2,4,80,0.67,1.39,5.33,17.67
361,51.7,2022,48.2,42.3,22.1,83.4,52.1,2,59.3,1.37,0.12,4.25,13.75
362,61.4,2022,50.3,32.7,18.7,83,56.8,4,77.8,0.87,0.61,4.75,10
363,49.4,2022,42.9,34.8,25.6,86.9,62.3,3,93.8,0.17,1.06,6,16
364,44.3,2022,47.1,44.8,27.2,83.3,54.4,3,71.4,1.46,-0.22,4.38,13
365,48.8,2022,41.7,31.2,39.5,84.9,51.7,5,64,1.5,0.33,5,14.67
366,51.2,2022,33,47.2,43.1,80.1,48.7,3,86.2,0.67,-0.26,3.5,11
367,52.3,2022,38.7,20.7,41.9,79.4,45.1,3,67.9,2.37,-0.51,3.25,9.87
368,51.1,2022,46,34.7,28.4,85.2,56.7,5,72.7,1.17,0.57,7,15.67
369,31.1,2022,44.5,33.7,26.9,82.7,40.2,0,66.3,2.46,-1.23,2.77,8.62
370,57.4,2022,34.1,34,41.6,77,40.8,4,70.8,1.34,-0.59,3.33,9.67
371,49.3,2022,44.1,38.7,28,81.5,52,4,71.1,1.25,-0.16,4.17,13.58
372,45.5,2022,37.7,32.9,35.2,79.1,43.6,2,69,2.6,-1.22,2.8,9.8
373,42.8,2022,52.3,35,20.1,85.2,43.3,2,64.3,2,-0.1,4.25,12.25
374,51.2,2022,50.4,40,33.1,79.6,52.5,3,78,1.5,-0.48,4.25,11.75
375,62.5,2022,49.1,33.3,19,85.3,61.5,6,90.9,0.33,1.57,8,18.17
376,40.2,2022,48.8,45.6,14.2,85.9,50,3,58.8,1.75,0.1,4.62,11.87
377,61.2,2022,35.7,37,36,79.1,60,2,85.7,0.83,-0.23,5,14.17
378,48.5,2022,45.4,33.8,17.2,85,46.3,2,70.1,2.17,-0.53,4.75,11.5
379,49.3,2022,46.3,29.4,33.6,83.1,49.3,3,75,1,0.8,5,14.67
380,64,2022,47.4,20,3.4,87.1,57.7,2,46.7,1.33,1.19,6.33,18.17
381,49,2022,33,39.4,23.8,82.1,54.7,3,61.9,1.33,1.01,4.5,13.5
382,50.9,2022,42.6,29.5,39.9,81.8,49.4,2,76.7,1,-0.15,3.75,11.62
383,60.7,2022,52.3,36,14,88.5,70.5,6,80,0.83,1.59,9.17,18
