,0
0,2.104725330588159
1,6.227608472208031
2,5.427040791744071
3,2.8960570995352577
4,5.261130786174795
5,2.405321996511834
6,5.244688681823702
7,5.80271865200968
8,5.7222579569832455
9,5.498389983683888
10,2.907373324186841
11,3.079300569940188
12,6.330385116972281
